Event,Event_Group,Event_Type,Proposition,Main_Category,Simplified_Page_URL,Count,Event_Type_Count
Other_Action,Refined,Other,other_action (Other Action),?fbclid=iwar36dfdvggnpm7kpou0uciow78z0rj-s1idouf2jat-3pmiublltxe-qn3y,,1,35061
Other_Action,Refined,Other,other_action (Other Action),?fbclid=iwar3hio0h01xmttr2a7-o9hoqxra3fah4glwgavgkxzys0pbww34vlhk-yky,,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nabsweqir-rcnw0yza17ecpdrla8fspcfbe9ezcssjyb0nx80jhq5xocyhkqavd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nckttdkrgr7xkkzhrcwbybzq3l6qho0o_1ode7jm1p9fbbct3hqdthocvsuqavd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-ndsucmat0h43i2wgumb7n4zcwqwvcnny1tjrj3_gxvi6kmxcbo-srhoczz8qavd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nirvxjd_4vuhing50vwoxf37wfvc-fcwj8vwdjaifabp8mt_dejmnhocjxeqavd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-njvgwdkpy9j_g2p5mll7bqgxojlkfnstk4f9lvjxvcdzu8hbvhp_khocao4qavd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-nmv8hl6eku5vbqh1pqfonf8qvdmtrwphl5k5voer1wwldxvakebumhocmtyqavd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=cjwkcaiaxmlvbrbneiwakhr-npcrxekagaw2ll_8nymhvl4gi_h08lptljxespurb0xy05mphuqiahocbx0qavd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmi3dbb17wt5givt6wach2lnqbceaayasaaegkkipd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmi8yaji4mt5givuqmach1w9qz2eamyasaaegkj__d_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmiiprghset5giv2ewach244qifeaayasaaeglw5pd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmim9omrjyt5givfqmach0f8qhoeaayasaaegi2pvd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmio73l8s6u5givwbhtch0z5wvxeaayasaaeginypd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmiomfh9fat5givb6wach2wpwuseaayasaaegkbvpd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmipkqvh4iu5givlqiach1loqhweaayasaaegjm8vd_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmipnvbnbmt5givx6iach0r6wgveaayasaaegjt1_d_bwe,c-21,1,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html?gclid=eaiaiqobchmiu_7f0tot5givguiach3thae-eaayasaaegltlfd_bwe,c-21,1,35061
